AttackCount,Organisation
176,Muttahida Qami Movement (MQM)
175,Palestine Liberation Organization (PLO)
173,Left-Wing Militants
169,Barqa Province of the Islamic State
169,Garo National Liberation Army
168,Hutu extremists
167,People's Liberation Forces (FPL)
163,Muslim Separatists
160,Tribesmen
160,Khmer Rouge
157,Guerrilla Army of the Poor (EGP)
156,Popular Front for the Liberation of Palestine (PFLP)
155,Sudan People's Liberation Movement in Opposition (SPLM-IO)
153,Islamic Salvation Front (FIS)
152,Runda Kumpulan Kecil (RKK)
150,Jamaat Nusrat al-Islam wal Muslimin (JNIM)
148,Jihadi-inspired extremists
147,Mayi Mayi
145,Islamic State of Iraq (ISI)
143,Barisan Revolusi Nasional (BRN)
143,Lashkar-e-Jhangvi
141,Democratic Revolutionary Alliance (ARDE)
141,White supremacists/nationalists
137,Revolutionary Armed Forces of Colombia (FARC) dissidents
131,Free Syrian Army
131,Guatemalan National Revolutionary Unity (URNG)
130,Anti-Muslim extremists
128,Muslim Brotherhood
128,Anarchists
128,Corsican National Liberation Front- Historic Channel
127,Left-Wing Guerrillas
125,Irish National Liberation Army (INLA)
124,Jaish-e-Mohammad (JeM)
124,Lashkar-e-Islam (Pakistan)
120,Black September
120,Dissident Republicans
120,Fuerzas Armadas de Liberacion Nacional (FALN)
117,Revolutionary Organization of People in Arms (ORPA)
117,Animal Liberation Front (ALF)
116,Montoneros (Argentina)
116,Free Aceh Movement (GAM)
112,Mujahedin-e Khalq (MEK)
112,November 17 Revolutionary Organization (N17RO)
111,Democratic Front for the Liberation of Rwanda (FDLR)
109,United Popular Action Movement
109,The Extraditables
102,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
99,Shanti Bahini - Peace Force
99,Opposition Group
97,People's War Group (PWG)
95,Irish Republican Extremists
95,People's Liberation Army (India)
94,Hay'at Tahrir al-Sham
94,Anti-Government extremists
93,Contras
92,Black Nationalists
92,Pro Hartal Activists
90,United Baloch Army (UBA)
89,Bangladesh Nationalist Party (BNP)
88,Karen National Union
88,Muslim Fundamentalists
88,Revolutionary People's Struggle (ELA)
87,Uighur Separatists
87,Bodo Militants
87,Movement for the Emancipation of the Niger Delta (MEND)
86,Haqqani Network
86,New World Liberation Front (NWLF)
85,Communists
85,Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
82,Movement of Democratic Forces of Casamance
82,Jewish Defense League (JDL)
82,Anti-Balaka Militia
80,People's Liberation Front of India
79,Ansar Bayt al-Maqdis (Ansar Jerusalem)
79,Israeli settlers
78,National Liberation Front of Tripura (NLFT)
78,Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)
77,Arakan Army (AA)
77,Kashmiri extremists
77,Militants
76,Paraguayan People's Army (EPP)
76,Jemaah Islamiya (JI)
74,Al-Qaida
74,Student Radicals
73,Right-wing extremists
73,Resistenza
72,Asa'ib Ahl al-Haqq
72,Earth Liberation Front (ELF)
71,Jamaat-E-Islami (Bangladesh)
69,Turkish People's Liberation Army
68,Free Papua Movement (OPM-Organisasi Papua Merdeka)
67,Red Army Faction (RAF)
67,Naxalites
67,United Self Defense Units of Colombia (AUC)
67,Gorkha Janmukti Morcha (GJM)
66,The New Irish Republican Army
66,Ansar al-Sharia (Libya)
65,Revolutionary United Front (RUF)
64,National Socialist Council of Nagaland-Khaplang (NSCN-K)
64,Southern Mobility Movement (Yemen)
64,People's Revolutionary Army (ERP) (El Salvador)
63,South-West Africa People's Organization (SWAPO)
63,Jabha East Africa
63,Corsican Separatists
62,Terra Lliure
62,Ricardo Franco Front (Dissident FARC)
62,Hizb-ul-Ahrar (HuA)
61,Recontras
61,Chukakuha (Middle Core Faction)
59,Terrorists
59,Sudan People's Liberation Movement - North
59,Gurkha National Liberation Front (GNLF)
59,Sindhu Desh Liberation Army (SDLA)
59,Revolutionary Cells
58,Prima Linea
58,Kosovo Liberation Army (KLA)
58,Thai Islamic Militants
58,Conspiracy of Cells of Fire
57,Iparretarrak (IK)
56,Al-Fatah
56,Arakan Rohingya Salvation Army (ARSA)
56,Adan-Abyan Province of the Islamic State
56,Baader-Meinhof Group
55,Action Directe
55,Jammu and Kashmir Liberation Front
55,Omega-7
54,Ansar al-Dine (Mali)
54,Islamic State in the Greater Sahara (ISGS)
54,Anti-Semitic extremists
53,Tawhid and Jihad
53,Movement for Oneness and Jihad in West Africa (MUJAO)
52,Ansar al-Sunna (Mozambique)
52,Indian Mujahideen
51,Abu Nidal Organization (ANO)
51,Guerrillas
51,Patriotic Resistance Front in Ituri (FRPI)
51,Popular Resistance Committees
51,Moslem Activists
50,Left-Wing Terrorists
50,Inkatha Freedom Party (IFP)
50,Niger Delta Avengers (NDA)
49,Albanian extremists
49,Revolutionary Patriotic Anti-Fascist Front (FRAP)
49,Kachin Independence Army (KIA)
48,Muslim Rebels
48,Oglaigh na hEireann
48,Strikers
48,Pattani United Liberation Organization (PULO)
48,Informal Anarchist Federation
47,Muslims
47,Free Galician People's Guerrilla Army
47,Popular Forces of April 25
46,Democratic Front for the Liberation of Palestine (DFLP)
46,Mapuche extremists
46,"Weather Underground, Weathermen"
46,Justice Commandos for the Armenian Genocide
45,Sudan People's Liberation Army (SPLA)
44,Tribal Group
44,23rd of September Communist League
44,Hizb-I-Islami
44,Caucasus Emirate
43,Shia Muslim extremists
43,Devrimici Halk Kurtulus Cephesi (DHKP/C)
43,Jama'atul Mujahideen Bangladesh (JMB)
43,Dishmish Regiment
42,Tuareg extremists
42,Paramilitaries
42,Islamic State in Bangladesh
41,Brunswijk Jungle Commando
41,Real Irish Republican Army (RIRA)
41,Kangleipak Communist Party (KCP)
41,Tupamaros (Uruguay)
40,Lorenzo Zelaya Revolutionary Front (LZRF)
40,United National Liberation Front (UNLF)
40,Buddhist Monks
40,Awami League
40,Official Irish Republican Army (OIRA)
39,Party for the Liberation of the Hutu People (PALIPEHUTU)
39,Armed Forces of National Resistance (FARN)
39,Sunni Muslim extremists
38,Israeli extremists
38,Popular Revolutionary Bloc (BPR)
38,Taliban (Pakistan)
37,Rebels
37,Ta'ang National Liberation Army (TNLA)
37,Macheteros
37,Baloch Nationalists
37,Janatantrik Terai Mukti Morcha- Goit (JTMM-G)
37,National Liberation Front (FNL) (Burundi)
37,Continuity Irish Republican Army (CIRA)
36,Black Liberation Army
36,Popular Resistance Committees (Yemen)
36,Rebel Armed Forces of Guatemala (FAR)
36,Turkish People's Liberation Front (TPLF)(THKP-C)
36,Great Eastern Islamic Raiders Front (IBDA-C)
35,Croatian Nationalists
35,Al-Naqshabandiya Army
35,Maoist Communist Center (MCC)
35,Islamic Front (Syria)
35,National Liberation Army (NLA) (Macedonia)
34,Communist Party of Nepal-Maoist (Baidya)
34,Jaysh al-Islam (Syria)
34,Ambazonia Defense Forces (ADF)
34,Ansar al-Islam (Burkina Faso)
34,Canary Islands Independence Movement
34,Seleka
34,Misurasata Indian Organization
33,Fezzan Province of the Islamic State
33,Maute Group
33,Loyalists
32,Jewish Extremists
32,Lashkar-e-Balochistan
32,People's Revolutionary Party of Kangleipak (PREPAK)
32,Janatantrik Terai Mukti Morcha (JTMM)
32,Ajnad Misr
32,Breton Liberation Front (FLB)
31,Turkish Communist Party/Marxist (TKP-ML)
31,April 6th Liberation Movement
31,Chicano Liberation Front
31,Meibion Glyndwr
30,Armed Proletarian Nuclei (NAP)
30,Nyatura Militia
30,Sanaa Province of the Islamic State
30,Kurdistan Freedom Hawks (TAK)
30,Armed Revolutionary Independence Movement (MIRA)
29,Tripura National Volunteers (TNV)
29,Left-wing extremists
29,Ansar al-Islam
29,Southern Front
29,United Freedom Front (UFF)
28,Bougainville Revolutionary Army (BRA)
28,Extremists
28,Ahrar al-Sham
28,Zimbabwe African Nationalist Union (ZANU)
28,Balochistan Liberation United Front (BLUF)
28,People's Protection Units (YPG)
28,Sindhudesh Revolutionary Army (SRA)
27,Azawad National Liberation Movement (MNLA)
27,Democratic Karen Buddhist Army (DKBA)
27,Tritiya Prastuti Committee (TPC)
27,Animal Rights extremists
27,Al-Islah Party
27,Caucasus Province of the Islamic State
27,Alfaro Vive
27,Amal
27,Neo-Fascist extremists
27,Abdullah Azzam Brigades
27,Vigilante Group
26,Khalistan Liberation Force
26,Lebanese National Resistance Front
26,Murle Tribe
26,Loyalist Volunteer Forces (LVF)
26,Kamwina Nsapu Militia
26,Patriotic Morazanista Front (FPM)
26,Ku Klux Klan
26,Puerto Rican Nationalists
26,Army of God
26,Catalan Liberation Front (FAC)
25,Red Flag (Venezuela)
25,Haftar Militia
25,Anti-Government Group
25,Revolutionary Workers' Council (Kakurokyo)
25,International Revolutionary Action Group (GARI)
25,Jamaah Ansharut Daulah
25,Caribbean Revolutionary Alliance (ARC)
24,Islamic State in Egypt
24,Cinchoneros Popular Liberation Movement
24,Black Panthers
24,Dima Halao Daoga (DHD)
24,Zapatista National Liberation Army
24,Pro-Russia Militia
24,Peasant Self-Defense Group (ACCU)
24,Jaish-e-Islam
24,Mujahidin Indonesia Timur (MIT)
24,Revolutionary Struggle
24,16 January Organization for the Liberation of Tripoli
24,United Front for Democracy Against Dictatorship
23,Communist Party of Nepal- Maoist (CPN-M)
23,Justice and Equality Movement (JEM)
23,Tutsi extremists
23,Rohingya extremists
23,Halqa-e-Mehsud
23,Counter-revolutionaries
23,Union for Peace in Central Africa (UPC)
23,Qaddafi loyalists
23,Ex-Somoza National Guard
23,Red Hand Defenders (RHD)
23,Arab Separatists
22,People's Committee against Police Atrocities (PCPA)
22,Anti-Nuclear extremists
22,Youths
22,Jaish al-Adl
22,Shura Council of Mujahideen in Derna
22,Shura Council of Benghazi Revolutionaries
22,National Front for the Liberation of Cuba (FLNC)
22,Popular Revolutionary Army (Mexico)
22,Coordination Committee (CORCOM)
22,Guatemalan Labor Party (PGT)
22,Purbo Banglar Communist Party
22,Tupac Katari Guerrilla Army (EGTK)
22,Cuban Exiles
21,Polisario Front
21,Eritrean Liberation Front
21,Hindu extremists
21,Southern Resistance Forces (SRF)
21,Kurdish extremists
21,Oromo Liberation Front
21,Karen Insurgents
21,Armed People
21,Hasam Movement
21,Anti-Immigrant extremists
21,9 February
21,Irish People's Liberation Organization (IPLO)
21,Union of the People (UDP)
21,Communist Combattant Cells (CCC) (Belgium)
20,Sudan Liberation Movement
20,Students
20,Ijaw extremists
20,Okba Ibn Nafaa Brigade
20,Military Council of the Tribal Revolutionaries (MCTR)
20,Peace at Home Council
20,Anti-Government Guerrillas
20,Right-Wing Death Squad
20,Khalistan Commando Force
20,Karbi People's Liberation Tigers (KPLT)
20,Armed Revolutionary Nuclei (NAR)
20,Anti-Terrorist Liberation Group (GAL)
20,Jund al-Khilafah (Tunisia)
20,Jundallah (Pakistan)
20,Zebra killers
20,George Jackson Brigade
20,May 19 Communist Order
19,Right-Wing Group
19,Supporters of Abd Rabbuh Mansur Hadi
19,Uganda Freedom Movement (UFM)
19,Sipah-e-Sahaba/Pakistan (SSP)
19,Sandinistas
19,Marxists
19,Central Africa Province of the Islamic State
19,Mahdi Army
19,Argentine Anticommunist Alliance (AAA)
19,Secret Anti-Communist Army (ESA)
19,Jewish Armed Resistance
19,Independent Armed Revolutionary Commandos (CRIA)
18,Iraqi extremists
18,Zeliangrong United Front
18,Young Communist League
18,Hizbul al Islam (Somalia)
18,Dacoits
18,Forqan Group
18,Harkatul Jihad-e-Islami
18,Shaykh Subhi Al-Salih Forces
18,Jamaat-ul-Ahrar
18,Gbagbo Loyalists
18,Death to Kidnappers (MAS)
18,Mujahideen Ansar
18,Achik Songna An'pachakgipa Kotok (ASAK)
17,Arabs
17,National Socialist Council of Nagaland
17,Naga People
17,Kuki National Front (KNF)
17,Hadramawt Province of the Islamic State
17,Front for the Liberation of the Enclave of Cabinda (FLEC)
17,Right-Wing Paramilitaries
17,Kurds
17,Serbian guerrillas
17,Ansar al-Sunna
17,Tuareg Guerrillas
17,Al-Mansoorian
17,Italian Social Movement (MSI)
17,Black Panther Group (Palestinian)
17,Al-Qaida in the Indian Subcontinent
17,31 January People's Front (FP-31)
16,Iranians
16,National Patriotic Front of Liberia (NPFL)
16,Tehrik al-Mojahedin
16,Students Islamic Movement of India (SIMI)
16,Anti-White extremists
16,Al-Ummah
16,20 December Movement (M-20)
16,The Justice Department
16,Coordination for Revolutionary Action (CAR)
16,Pro-Trump extremists
16,Aryan Republican Army
15,National Council for Defense of Democracy (NCDD)
15,East Timorese extremists
15,Kurdistan Free Life Party
15,Kata'ib Hezbollah
15,Kamtapur Liberation Organization (KLO)
15,Karbi Longri North Cachar Liberation Front (KLNLF)
15,Jaish al-Fatah (Syria)
15,Workers' Self-Defense Movement (MAO)
15,Colombian Guerrillas
15,February 28 Popular League (El Salvador)
15,Raia Mutomboki Militia
15,Mai Mai Mazembe Militia
15,Ranbir Sena
15,Akhil Terai Mukti Morcha (ATMM)
15,United Democratic Madhesi Front (UDMF)
15,Uganda People's Army
15,Liwa Ahrar al-Sunna
15,Anti-Police extremists
15,Rodrigo Franco Command
15,Front for the Liberation of Lebanon from Foreigners
15,Popular Militia (Colombia)
15,Organization of Volunteers for the Puerto Rican Revolution
15,Revolutionary Commandos of the People (CRP)
14,Macina Liberation Front (FLM)
14,Mizo National Front
14,Union Guerrera Blanca (UGB)
14,Mai Mai Simba Militia
14,Arauco Malleco Coordinating Group (CAM) - Chile
14,Popular Resistance Movement (Egypt)
14,Al-Umar Mujahideen
14,All Tripura Tiger Force (ATTF)
14,Che Guevara Brigade
14,Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)
14,Corsican Nationalists
14,Institutional Revolutionary Party (PRI)
14,National Socialist Underground
14,Tehrik-e-Khilafat
14,People's Revolutionary Organization
14,2nd of June Movement
14,Coordination of the United Revolutionary Organization (CORU)
14,Anti-Technology extremists
14,Maximiliano Gomez Revolutionary Brigade
13,Coordination of Azawad Movements (CMA)
13,Force 17
13,Jundallah (Iran)
13,Insurgents
13,Muslim Guerrillas
13,Ahlu-sunah Wal-jamea (Somalia)
13,Ansar al-Sharia (Tunisia)
13,Political Activists
13,Political Group
13,Renamo Military Junta
13,United Popular Action Front (FAPU)
13,Weichan Auka Mapu
13,Vishwa Hindu Parishad (VHP)
13,Lashkar-e-Islam (India)
13,Fighting Proletarian Squads
13,Spanish Basque Battalion (BBE) (rightist)
13,Anti-Authority Group (Greece)
13,Zimbabwe African People's Union
13,Alex Boncayao Brigade (ABB)
13,Cuban Action
13,Armed Commandos of Liberation
12,Lesotho Liberation Army (LLA)
12,Pirates
12,Bandits
12,Communist Party of India- Marxist
12,Rubicon (Rouvikonas)
12,Kach
12,Democratic Revolutionary Party
12,Militia Members
12,Islamic Courts Union (ICU)
12,Tigray Peoples Liberation Front (TPLF)
12,Popular Mobilization Forces (Iraq)
12,Khasi Students Union
12,Harkat ul Ansar
12,Jamiat ul-Mujahedin (JuM)
12,Black Widows
12,Samyukta Jatiya Mukti Morcha (SJMM)
12,Al-Qaida in Yemen
12,Armed Forces of the Chechen Republic of Ichkeria
12,Al-Ashtar Brigades
12,National Democratic Alliance Army (NDAA-ESSA)
12,Nduma Defense of Congo (NDC)
12,Babbar Khalsa International (BKI)
12,New Armenian Resistance
12,East Asia Anti Japanese Armed Front
12,Revolutionary Nuclei
11,Misrata Brigades
11,United Democratic Liberation Army (UDLA)
11,Rashtriya Swayamsevak Sangh
11,Benghazi Defense Brigades (BDB)
11,Liberation and Justice Movement (LJM)
11,Kurdish Separatists
11,Quintin Lame
11,Patriotic Ginbot 7 Movement for Unity and Democracy (PGMUD)
11,Subversives
11,Revolutionary Front for an Independent East Timor (FRETILIN)
11,Najd Province of the Islamic State
11,Mai Mai Bakata Katanga Militia
11,Supreme Council for Islamic Revolution in Iraq (SCIRI)
11,Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)
11,Revolutionary Punishment Movement
11,Communist Fighting Unit
11,Autonomy (Italy)
11,Rwanda Patriotic Front (RPF)
11,Shan State Progressive Party
11,Ansarullah Bangla Team
11,Popular Front for the Renaissance of the Central African Republic (FPRC)
11,White Wolves
11,Bedouin tribesmen
11,Niger Delta Greenland Justice Mandate (NDGJM)
10,Takfir wal-Hijra (Excommunication and Exodus)
10,Kurdish Democratic Party-Iraq (KDP)
10,Jamaat-E-Islami (India/Pakistan)
10,Rival Activists
10,Terai Army
10,Indigenous People of Biafra (IPOB)
10,Sudan Liberation Army-Minni Minawi (SLA-MM)
10,Anti-Iran Government Exiles
10,Kurdish Dissidents
10,Pakistani People's Party (PPP)
10,Egyptian Islamic Jihad (Al-Jihad)
10,Bhinderanwale Tiger Force of Khalistan (BTHK)
10,Jharkhand Janmukti Parishad (JJP)
10,Proletarian Patrols
10,Movement of Niger People for Justice (MNJ)
10,Iberian Liberation Movement (MIL)
10,Riyadus-Salikhin Reconnaissance and Sabotage Battalion of Chechen Martyrs
10,Algeria Province of the Islamic State
10,Resistance to the Rule of Law in Burundi (Red-Tabara)
10,Supporters of Ex-President Gamsakhurdial
10,South Ossetian Separatists
10,People's Revolutionary Army (ERP)
10,Baloch Liberation Tigers (BLT)
10,United People's Democratic Front (UPDF) - Bangladesh
10,People Against Gangsterism and Drugs (PAGAD)
10,Jewish Terror
10,Autonomous Anti-Capitalist Commandos (CAA)
10,1 May
10,Red Hand Commandos
10,Revolutionary Workers Party
10,Manipur Naga People's Army (MNPA)
10,Basque extremists
10,Arab Communist Organization
10,Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)
10,Indipendenza
10,Al-Khobar
10,Chicano Radicals
10,Orange Volunteers (OV)
10,Shutdown G20: Take Hamburg offline!
9,Japanese Red Army (JRA)
9,Kanglei Yawol Kanna Lup (KYKL)
9,Gorkha Liberation Army (GLA)
9,Turkish Leftists
9,Armenian Guerrillas
9,Orly Organization
9,Commandos
9,Kuki Tribal Militants
9,Achik National Volunteer Council-B (ANVC-B)
9,Mombasa Republican Council (MRC)
9,Syrian Democratic Forces (SDF)
9,Abu Abbas Brigade
9,Popular Movement for the Liberation of Angola
9,Iraqi Mujahideen
9,Zimbabwe Patriotic Front
9,Ninjas
9,M23
9,Iran-backed militia
9,Turkestan Islamic Party
9,Bodo Liberation Tigers (BLT)
9,Libya Revolutionaries Operations Room (LROR)
9,Madhesi Mukti Tigers (MMT)
9,Shamiya Front
9,Group of Popular Fighters
9,Serbian extremists
9,Jund al-Sham for Tawhid and Jihad
9,Mohajir National Movement
9,Peronist Armed Forces (FAP)
9,Colonel Karuna Faction
9,South Moluccans
9,Individuals Tending Toward Savagery
9,People's Revolutionary Party of Kangleipak-Progressive (PREPAK-P)
9,Mafia
9,Black September II
9,May 15 Organization for the Liberation of Palestine
9,Eagles of the Palestinian Revolution
9,Social Resistance
9,Revolutionary Communist League (LCR) (Spain)
9,Comite d'Action Viticole
9,Pagan Sect of the Mountain
9,Reform of the Armed Forces Movement
9,Luis Boitel Commandos
9,Supporters of the Islamic State in Jerusalem
9,Democratic Front of the Central African People (FDPC)
8,Palestine Liberation Front (PLF)
8,Deccan Mujahideen
8,Al-Zulfikar
8,Afghan Guerrillas
8,Workers/Employees
8,Syrian Social Nationalist Party
8,Supporters of Joshua Nkomo
8,Alliance of Patriots for a Free and Sovereign Congo (APCLS)
8,Mujahedeen Shura Council
8,People's Fatherland Movement
8,Communist Party of India- Marxist-Leninist
8,Kuki Revolutionary Army (KRA)
8,Bharatiya Janata Party
8,Janatantrik Terai Madhesh Mukti Morcha (JTMMM)
8,Anti-Terrorism ETA (ATE)
8,Aleppo Fatah Operations Room
8,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)"
8,Cossack Separatists
8,Bolivian Socialist Falange
8,Right Sector
8,Front For the Liberation of the Azores
8,Jamaah Ansharut Tauhid (JAT)
8,Christian extremists
8,Tamil Eelam Liberation Organization (TELO)
8,Azerbaijan Guerrillas
8,Al-Qaida in Saudi Arabia
8,Anti-LGBT extremists
8,Convention of Patriots for Justice and Peace
8,Aum Shinri Kyo
8,Basque Separatists
8,Lebanese Armed Revolutionary Faction (LARF)
8,Grey Wolves
8,Armata di Liberazione Naziunale (ALN)
8,The Order (Silent Brotherhood)
8,Ninth of June Organization
8,United Revolutionary Front
8,"Senki (""Battle Flag"")"
8,Libya Shield Force
8,Communist Party of Nepal (People's War Group)
8,Francia
8,Athens and Thessaloniki Arsonist Nuclei
8,Somali Salvation Front (SSF)
8,Baloch Republican Guards (BRG)
8,Secret Cuban Government
8,"Up the IRS, Inc"
8,Arab Revolutionary Army
8,Coalition to Save the Preserves (CSP)
7,Somali National Movement
7,Kurdish Rebels
7,Patriotic Union of Kurdistan (PUK)
7,Arab Movement of Azawad (MAA)
7,Dozo militia
7,Mob
7,Protesters
7,Secessionists
7,Fedayeen Khalq (People's Commandos)
7,Al-Sham Legion
7,Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)
7,Landless Peasants' Movement (MST)
7,United Wa State Army
7,The Joint Revolutionary Council
7,Rahanwein Resistance Army (RRA)
7,Kisan Indian Organization
7,Eelam People's Revolutionary Liberation Front (EPRLF)
7,Anti-Government Demonstrators
7,Symbionese Liberation Army (SLA)
7,"Return, Reclamation, Rehabilitation (3R)"
7,Dogon extremists
7,Movement of the Revolutionary Left (MIR) (Peru)
7,Rebel Military Unit
7,United People's Democratic Solidarity (UPDS)
7,Jharkhand Liberation Tigers (JLT)
7,People's United Liberation Front (PULF)
7,Hynniewtrep National Liberation Council (HNLC)
7,Revolutionary Action
7,Anti-Monarchists
7,GAC
7,Red Guerrilla
7,Southern Yemen Separatists
7,Incel extremists
7,Survivors of Golfech
7,Red Brigades Fighting Communist Party (BR-PCC)
7,Conspiracy theory extremists
7,Fighting Popular Rally
7,Revolutionary Popular Left
7,Terror Against Terror
7,Holy Spirit Movement
7,Beirut Martyrs Battalion
7,Tiv Militia
7,Berom Militants
7,Ukrainian nationalists
7,Pedro Leon Arboleda (PLA)
7,Argentine Liberation Front (FAL)
7,Laskar Jihad
7,Recompras
7,Afghan Mujahideen
7,Maximiliano Hernandez Martinez Brigade
7,Hijaz Province of the Islamic State
7,World Church of the Creator
7,Armenians
7,Cyprus Turkish People's Movement
7,Soldiers of Truth
7,Lebanese Liberation Front
7,Scottish National Liberation Army
7,Guadeloupe Liberation Army
7,Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)
7,Ansar al-Sharia Operations Room (Syria)
7,Nur-al-Din al-Zinki Movement
7,Black Star
7,Militant Minority (Greece)
7,Keshet
7,Guerrilla Forces for Liberation
7,Pedro Albizu Campos Revolutionary Forces
7,Proletarian Fighting Patrol
7,Kuna Indians
7,The Children of the Fire Initiative
7,Bodu Bala Sena
7,Economic Freedom Fighters
6,Self-Defense Group of Imghad Tuaregs and Allies (GATIA)
6,Villagers
6,Hmar People's Convention-Democracy (HPC-D)
6,A'chik Matgrik Elite Force (AMEF)
6,Sabaot Land Defense Force (SLDF)
6,Derna Protection Force (DPF)
6,Nepali Congress Party (NC)
6,Arab Revolution/Liberation Vanguard Organization
6,National Liberation Front (NLF-Syria)
6,Palestinian Revolution Forces
6,Taxi Drivers
6,Liberians United for Reconciliation and Democracy (LURD)
6,Ogaden National Liberation Front (ONLF)
6,E. Timorese Youths
6,Opposition Militants
6,Armed Group for the Liberation of Guadeloupe (GLAG)
6,Afrikaner Resistance Movement (AWB)
6,Twa Militia
6,National Movement of Revolutionaries (MNR)
6,Mai Mai Yakutumba Militia
6,Cooperative for the Development of the Congo (CODECO) militia
6,Adivasi National Liberation Army (ANLA)
6,Armed Proletarian Power
6,Armed Proletarian Squads
6,Armed Falange
6,Radicals
6,Tripoli Revolutionaries Battalion
6,Bashir al-Baqarah militia
6,National Organization of Cypriot Fighters (EOKA)
6,Fatah Uprising
6,Khaled Ibn al-Walid Army
6,Arab-Israeli extremists
6,Albanian National Army (ANA)
6,Anti-United States extremists
6,Unemployed Persons
6,Turkish Hezbollah
6,People's Army (Myanmar)
6,America Battalion
6,Black Hand (Colombia)
6,Jaime Bateman Cayon Group (JBC)
6,Front for the Restoration of Unity and Democracy
6,Morazanist Front for the Liberation of Honduras (FMLH)
6,Sipah-I-Mohammed
6,Tehrik-e-Nafaz-e-Shariat-e-Mohammadi (TNSM)
6,Ansar al-Sharia (Pakistan)
6,Pro-Indonesia extremists
6,Revolutionary Armed Forces of Nicaragua (FARN)
6,Bangladesh Sarbahara Party
6,David Yau Yau Militia
6,Black Muslims
6,Aryan Nation
6,Republican Action Force
6,Extraparliamentary Opposition (APO)
6,Chilean Anti-Communist Alliance (ACHA)
6,Abu Amarah Battalion
6,Armed Nucleus for Popular Autonomy
6,Marxist-Leninist Armed Propaganda Unit
6,People's Democratic Party (PDP)
6,Manuel Jose Arce Commando
6,Left-Wing Demonstrators
6,The Defense Command of the French People and the Motherland (CDPPF)
6,Mujahideen Kashmir
